batch number;plate number;imgname;imgnameext;stripe?;bullet?;value
003;001;b_003_p_001_s;b_003_p_001_s.jpg;1;;150,964
003;002;b_003_p_002_n;b_003_p_002_n.jpg;0;;163,71
003;002;b_003_p_002_s;b_003_p_002_s.jpg;1;1;250,451
003;003;b_003_p_003_n;b_003_p_003_n.jpg;0;;176,707
003;003;b_003_p_003_s;b_003_p_003_s.jpg;1;1;272,126
003;004;b_003_p_004_n;b_003_p_004_n.jpg;0;;159,685
003;004;b_003_p_004_s;b_003_p_004_s.jpg;1;1;262,487
003;005;b_003_p_005_n;b_003_p_005_n.jpg;0;;202,032
003;005;b_003_p_005_s;b_003_p_005_s.jpg;1;1;161,913
003;006;b_003_p_006_n;b_003_p_006_n.jpg;0;1;389,15
003;006;b_003_p_006_s;b_003_p_006_s.jpg;1;;287,17
003;007;b_003_p_007_n;b_003_p_007_n.jpg;0;;172,222
003;007;b_003_p_007_s;b_003_p_007_s.jpg;1;1;143,723
003;008;b_003_p_008_n;b_003_p_008_n.jpg;0;1;162,712
003;008;b_003_p_008_s;b_003_p_008_s.jpg;1;;147,591
003;009;b_003_p_009_n;b_003_p_009_n.jpg;0;;177,483
003;009;b_003_p_009_s;b_003_p_009_s.jpg;1;1;141,84
003;010;b_003_p_010_n;b_003_p_010_n.jpg;0;;168,272
003;010;b_003_p_010_s;b_003_p_010_s.jpg;1;1;164,79
004;001;b_004_p_001_n;b_004_p_001_n.jpg;0;;170,903
004;001;b_004_p_001_s;b_004_p_001_s.jpg;1;1;194,832
004;002;b_004_p_002_n;b_004_p_002_n.jpg;0;;236,777
004;002;b_004_p_002_s;b_004_p_002_s.jpg;1;1;279,318
004;003;b_004_p_003_n;b_004_p_003_n.jpg;0;1;234,074
004;003;b_004_p_003_s;b_004_p_003_s.jpg;1;;212,644
004;004;b_004_p_004_n;b_004_p_004_n.jpg;0;;321,149
004;004;b_004_p_004_s;b_004_p_004_s.jpg;1;1;226,673
004;005;b_004_p_005_n;b_004_p_005_n.jpg;0;;268,227
004;005;b_004_p_005_s;b_004_p_005_s.jpg;1;1;250,979
004;006;b_004_p_006_n;b_004_p_006_n.jpg;0;1;157,04
004;006;b_004_p_006_s;b_004_p_006_s.jpg;1;;227,3
004;007;b_004_p_007_n;b_004_p_007_n.jpg;0;;180,688
004;007;b_004_p_007_s;b_004_p_007_s.jpg;1;1;192,248
004;008;b_004_p_008_n;b_004_p_008_n.jpg;0;1;252,178
004;008;b_004_p_008_s;b_004_p_008_s.jpg;1;;245,243
004;009;b_004_p_009_n;b_004_p_009_n.jpg;0;1;211,896
004;009;b_004_p_009_s;b_004_p_009_s.jpg;1;;219,116
004;010;b_004_p_010_n;b_004_p_010_n.jpg;0;;126,831
004;010;b_004_p_010_s;b_004_p_010_s.jpg;1;1;242,112
005;001;b_005_p_001_n;b_005_p_001_n.jpg;0;1;342,272
005;001;b_005_p_001_s;b_005_p_001_s.jpg;1;;240,197
005;002;b_005_p_002_n;b_005_p_002_n.jpg;0;1;451,915
005;002;b_005_p_002_s;b_005_p_002_s.jpg;1;;309,038
005;003;b_005_p_003_n;b_005_p_003_n.jpg;0;1;348,469
005;003;b_005_p_003_s;b_005_p_003_s.jpg;1;;409,865
005;004;b_005_p_004_n;b_005_p_004_n.jpg;0;1;368,471
005;004;b_005_p_004_s;b_005_p_004_s.jpg;1;;332,016
005;005;b_005_p_005_n;b_005_p_005_n.jpg;0;1;249,695
005;005;b_005_p_005_s;b_005_p_005_s.jpg;1;;311,233
005;006;b_005_p_006_n;b_005_p_006_n.jpg;0;;243,725
005;006;b_005_p_006_s;b_005_p_006_s.jpg;1;1;335,223
005;007;b_005_p_007_n;b_005_p_007_n.jpg;0;1;394,684
005;007;b_005_p_007_s;b_005_p_007_s.jpg;1;;270,416
005;008;b_005_p_008_n;b_005_p_008_n.jpg;0;;466,956
005;008;b_005_p_008_s;b_005_p_008_s.jpg;1;1;399,025
005;009;b_005_p_009_n;b_005_p_009_n.jpg;0;;484,963
005;009;b_005_p_009_s;b_005_p_009_s.jpg;1;1;536,966
005;010;b_005_p_010_n;b_005_p_010_n.jpg;0;1;311,997
005;010;b_005_p_010_s;b_005_p_010_s.jpg;1;;451,317
