batch number;plate number;imgname;imgnameext;stripe?;bullet?;value;;newimagename
3;2;b_003_p_002_n;b_003_p_002_n.jpg;0;;163,71;;
3;2;b_003_p_002_s;b_003_p_002_s.jpg;1;1;250,451;;
3;3;b_003_p_003_n;b_003_p_003_n.jpg;0;;176,707;;
3;3;b_003_p_003_s;b_003_p_003_s.jpg;1;1;272,126;;
3;4;b_003_p_004_n;b_003_p_004_n.jpg;0;;159,685;;
3;4;b_003_p_004_s;b_003_p_004_s.jpg;1;1;262,487;;
3;5;b_003_p_005_n;b_003_p_005_n.jpg;0;;202,032;;
3;5;b_003_p_005_s;b_003_p_005_s.jpg;1;1;161,913;;
3;6;b_003_p_006_n;b_003_p_006_n.jpg;0;1;389,15;;
3;6;b_003_p_006_s;b_003_p_006_s.jpg;1;;287,17;;
3;7;b_003_p_007_n;b_003_p_007_n.jpg;0;;172,222;;
3;7;b_003_p_007_s;b_003_p_007_s.jpg;1;1;143,723;;
3;8;b_003_p_008_n;b_003_p_008_n.jpg;0;1;162,712;;
3;8;b_003_p_008_s;b_003_p_008_s.jpg;1;;147,591;;
3;9;b_003_p_009_n;b_003_p_009_n.jpg;0;;177,483;;
3;9;b_003_p_009_s;b_003_p_009_s.jpg;1;1;141,84;;
3;10;b_003_p_010_n;b_003_p_010_n.jpg;0;;168,272;;
3;10;b_003_p_010_s;b_003_p_010_s.jpg;1;1;164,79;;
4;1;b_004_p_001_n;b_004_p_001_n.jpg;0;;170,903;;
4;1;b_004_p_001_s;b_004_p_001_s.jpg;1;1;194,832;;
4;2;b_004_p_002_n;b_004_p_002_n.jpg;0;;236,777;;
4;2;b_004_p_002_s;b_004_p_002_s.jpg;1;1;279,318;;
4;3;b_004_p_003_n;b_004_p_003_n.jpg;0;1;234,074;;
4;3;b_004_p_003_s;b_004_p_003_s.jpg;1;;212,644;;
4;4;b_004_p_004_n;b_004_p_004_n.jpg;0;;321,149;;
4;4;b_004_p_004_s;b_004_p_004_s.jpg;1;1;226,673;;
4;5;b_004_p_005_n;b_004_p_005_n.jpg;0;;268,227;;
4;5;b_004_p_005_s;b_004_p_005_s.jpg;1;1;250,979;;
4;6;b_004_p_006_n;b_004_p_006_n.jpg;0;1;157,04;;
4;6;b_004_p_006_s;b_004_p_006_s.jpg;1;;227,3;;
4;7;b_004_p_007_n;b_004_p_007_n.jpg;0;;180,688;;
4;7;b_004_p_007_s;b_004_p_007_s.jpg;1;1;192,248;;
4;8;b_004_p_008_n;b_004_p_008_n.jpg;0;1;252,178;;
4;8;b_004_p_008_s;b_004_p_008_s.jpg;1;;245,243;;
4;9;b_004_p_009_n;b_004_p_009_n.jpg;0;1;211,896;;
4;9;b_004_p_009_s;b_004_p_009_s.jpg;1;;219,116;;
4;10;b_004_p_010_n;b_004_p_010_n.jpg;0;;126,831;;
4;10;b_004_p_010_s;b_004_p_010_s.jpg;1;1;242,112;;
5;1;b_005_p_001_n;b_005_p_001_n.jpg;0;1;342,272;;
5;1;b_005_p_001_s;b_005_p_001_s.jpg;1;;240,197;;
5;2;b_005_p_002_n;b_005_p_002_n.jpg;0;1;451,915;;
5;2;b_005_p_002_s;b_005_p_002_s.jpg;1;;309,038;;
5;3;b_005_p_003_n;b_005_p_003_n.jpg;0;1;348,469;;
5;3;b_005_p_003_s;b_005_p_003_s.jpg;1;;409,865;;
5;4;b_005_p_004_n;b_005_p_004_n.jpg;0;1;368,471;;
5;4;b_005_p_004_s;b_005_p_004_s.jpg;1;;332,016;;
5;5;b_005_p_005_n;b_005_p_005_n.jpg;0;1;249,695;;
5;5;b_005_p_005_s;b_005_p_005_s.jpg;1;;311,233;;
5;6;b_005_p_006_n;b_005_p_006_n.jpg;0;;243,725;;
5;6;b_005_p_006_s;b_005_p_006_s.jpg;1;1;335,223;;
5;7;b_005_p_007_n;b_005_p_007_n.jpg;0;1;394,684;;
5;7;b_005_p_007_s;b_005_p_007_s.jpg;1;;270,416;;
5;8;b_005_p_008_n;b_005_p_008_n.jpg;0;;466,956;;
5;8;b_005_p_008_s;b_005_p_008_s.jpg;1;1;399,025;;
5;9;b_005_p_009_n;b_005_p_009_n.jpg;0;;484,963;;
5;9;b_005_p_009_s;b_005_p_009_s.jpg;1;1;536,966;;
5;10;b_005_p_010_n;b_005_p_010_n.jpg;0;1;311,997;;
5;10;b_005_p_010_s;b_005_p_010_s.jpg;1;;451,317;;
