bn;pn;bullet;foldername;imgname;value
014;005;1;batch_014_plate_005;b_014_p_005_l_000_b.png;438.0
014;006;0;batch_014_plate_006;b_014_p_006_l_000_nb.png;255.0
014;006;1;batch_014_plate_006;b_014_p_006_l_000_b.png;214.0
014;007;0;batch_014_plate_007;b_014_p_007_l_000_nb.png;603.0
014;007;1;batch_014_plate_007;b_014_p_007_l_000_b.png;751.0
014;008;0;batch_014_plate_008;b_014_p_008_l_000_nb.png;225.0
014;008;1;batch_014_plate_008;b_014_p_008_l_000_b.png;369.0
014;009;0;batch_014_plate_009;b_014_p_009_l_000_nb.png;526.0
014;009;1;batch_014_plate_009;b_014_p_009_l_000_b.png;469.0
014;010;0;batch_014_plate_010;b_014_p_010_l_000_nb.png;84.0
014;010;1;batch_014_plate_010;b_014_p_010_l_000_b.png;99.0
015;001;0;batch_015_plate_001;b_015_p_001_l_000_nb.png;508.0
015;001;1;batch_015_plate_001;b_015_p_001_l_000_b.png;362.0
015;002;0;batch_015_plate_002;b_015_p_002_l_000_nb.png;151.0
015;002;1;batch_015_plate_002;b_015_p_002_l_000_b.png;200.0
015;003;0;batch_015_plate_003;b_015_p_003_l_000_nb.png;522.0
015;003;1;batch_015_plate_003;b_015_p_003_l_000_b.png;272.0
015;004;0;batch_015_plate_004;b_015_p_004_l_000_nb.png;780.0
015;004;1;batch_015_plate_004;b_015_p_004_l_000_b.png;843.0
015;005;0;batch_015_plate_005;b_015_p_005_l_000_nb.png;638.0
015;005;1;batch_015_plate_005;b_015_p_005_l_000_b.png;705.0
015;006;0;batch_015_plate_006;b_015_p_006_l_000_nb.png;425.0
015;006;1;batch_015_plate_006;b_015_p_006_l_000_b.png;558.0
015;007;0;batch_015_plate_007;b_015_p_007_l_000_nb.png;250.0
015;007;1;batch_015_plate_007;b_015_p_007_l_000_b.png;264.0
015;008;0;batch_015_plate_008;b_015_p_008_l_000_nb.png;643.0
015;008;1;batch_015_plate_008;b_015_p_008_l_000_b.png;790.0
015;009;0;batch_015_plate_009;b_015_p_009_l_000_nb.png;255.0
015;009;1;batch_015_plate_009;b_015_p_009_l_000_b.png;811.0
015;010;0;batch_015_plate_010;b_015_p_010_l_000_nb.png;546.0
015;010;1;batch_015_plate_010;b_015_p_010_l_000_b.png;632.0
016;001;0;batch_016_plate_001;b_016_p_001_l_000_nb.png;275.0
016;001;1;batch_016_plate_001;b_016_p_001_l_000_b.png;214.0
016;002;0;batch_016_plate_002;b_016_p_002_l_000_nb.png;228.0
016;002;1;batch_016_plate_002;b_016_p_002_l_000_b.png;292.0
016;003;0;batch_016_plate_003;b_016_p_003_l_000_nb.png;298.0
016;003;1;batch_016_plate_003;b_016_p_003_l_000_b.png;167.0
016;004;0;batch_016_plate_004;b_016_p_004_l_000_nb.png;351.0
016;004;1;batch_016_plate_004;b_016_p_004_l_000_b.png;307.0
016;005;0;batch_016_plate_005;b_016_p_005_l_000_nb.png;211.0
016;005;1;batch_016_plate_005;b_016_p_005_l_000_b.png;132.0
016;006;0;batch_016_plate_006;b_016_p_006_l_000_nb.png;298.0
016;006;1;batch_016_plate_006;b_016_p_006_l_000_b.png;147.0
016;007;0;batch_016_plate_007;b_016_p_007_l_000_nb.png;180.0
016;007;1;batch_016_plate_007;b_016_p_007_l_000_b.png;152.0
016;008;0;batch_016_plate_008;b_016_p_008_l_000_nb.png;269.0
016;008;1;batch_016_plate_008;b_016_p_008_l_000_b.png;257.0
016;009;0;batch_016_plate_009;b_016_p_009_l_000_nb.png;180.0
016;009;1;batch_016_plate_009;b_016_p_009_l_000_b.png;205.0
016;010;0;batch_016_plate_010;b_016_p_010_l_000_nb.png;104.0
016;010;1;batch_016_plate_010;b_016_p_010_l_000_b.png;48.0
017;001;0;batch_017_plate_001;b_017_p_001_l_000_nb.png;805.0
017;001;1;batch_017_plate_001;b_017_p_001_l_000_b.png;645.0
017;002;0;batch_017_plate_002;b_017_p_002_l_000_nb.png;334.0
017;002;1;batch_017_plate_002;b_017_p_002_l_000_b.png;246.0
017;003;0;batch_017_plate_003;b_017_p_003_l_000_nb.png;530.0
017;003;1;batch_017_plate_003;b_017_p_003_l_000_b.png;505.0
017;004;0;batch_017_plate_004;b_017_p_004_l_000_nb.png;450.0
017;004;1;batch_017_plate_004;b_017_p_004_l_000_b.png;525.0
017;005;0;batch_017_plate_005;b_017_p_005_l_000_nb.png;433.0
017;005;1;batch_017_plate_005;b_017_p_005_l_000_b.png;403.0
017;006;0;batch_017_plate_006;b_017_p_006_l_000_nb.png;590.0
017;006;1;batch_017_plate_006;b_017_p_006_l_000_b.png;538.0
017;007;0;batch_017_plate_007;b_017_p_007_l_000_nb.png;228.0
017;007;1;batch_017_plate_007;b_017_p_007_l_000_b.png;532.0
017;008;0;batch_017_plate_008;b_017_p_008_l_000_nb.png;368.0
017;008;1;batch_017_plate_008;b_017_p_008_l_000_b.png;722.0
017;009;0;batch_017_plate_009;b_017_p_009_l_000_nb.png;481.0
017;009;1;batch_017_plate_009;b_017_p_009_l_000_b.png;566.0
017;010;0;batch_017_plate_010;b_017_p_010_l_000_nb.png;759.0
017;010;1;batch_017_plate_010;b_017_p_010_l_000_b.png;337.0
018;001;0;batch_018_plate_001;b_018_p_001_l_000_nb.png;402.0
018;001;1;batch_018_plate_001;b_018_p_001_l_000_b.png;536.0
018;002;0;batch_018_plate_002;b_018_p_002_l_000_nb.png;307.0
018;002;1;batch_018_plate_002;b_018_p_002_l_000_b.png;485.0
018;003;0;batch_018_plate_003;b_018_p_003_l_000_nb.png;494.0
018;003;1;batch_018_plate_003;b_018_p_003_l_000_b.png;451.0
018;004;0;batch_018_plate_004;b_018_p_004_l_000_nb.png;289.0
018;004;1;batch_018_plate_004;b_018_p_004_l_000_b.png;456.0
018;005;0;batch_018_plate_005;b_018_p_005_l_000_nb.png;193.0
018;005;1;batch_018_plate_005;b_018_p_005_l_000_b.png;177.0
018;006;0;batch_018_plate_006;b_018_p_006_l_000_nb.png;133.0
018;006;1;batch_018_plate_006;b_018_p_006_l_000_b.png;213.0
018;007;0;batch_018_plate_007;b_018_p_007_l_000_nb.png;423.0
018;007;1;batch_018_plate_007;b_018_p_007_l_000_b.png;626.0
018;008;0;batch_018_plate_008;b_018_p_008_l_000_nb.png;627.0
018;008;1;batch_018_plate_008;b_018_p_008_l_000_b.png;757.0
018;009;0;batch_018_plate_009;b_018_p_009_l_000_nb.png;287.0
018;009;1;batch_018_plate_009;b_018_p_009_l_000_b.png;433.0
018;010;0;batch_018_plate_010;b_018_p_010_l_000_nb.png;615.0
018;010;1;batch_018_plate_010;b_018_p_010_l_000_b.png;458.0
019;001;0;batch_019_plate_001;b_019_p_001_l_000_nb.png;215.0
019;001;1;batch_019_plate_001;b_019_p_001_l_000_b.png;301.0
019;002;0;batch_019_plate_002;b_019_p_002_l_000_nb.png;297.0
019;002;1;batch_019_plate_002;b_019_p_002_l_000_b.png;264.0
019;003;0;batch_019_plate_003;b_019_p_003_l_000_nb.png;245.0
019;003;1;batch_019_plate_003;b_019_p_003_l_000_b.png;204.0
019;004;0;batch_019_plate_004;b_019_p_004_l_000_nb.png;414.0
019;004;1;batch_019_plate_004;b_019_p_004_l_000_b.png;390.0
019;005;0;batch_019_plate_005;b_019_p_005_l_000_nb.png;430.0
019;005;1;batch_019_plate_005;b_019_p_005_l_000_b.png;527.0
019;006;0;batch_019_plate_006;b_019_p_006_l_000_nb.png;372.0
019;006;1;batch_019_plate_006;b_019_p_006_l_000_b.png;459.0
019;007;0;batch_019_plate_007;b_019_p_007_l_000_nb.png;373.0
019;007;1;batch_019_plate_007;b_019_p_007_l_000_b.png;486.0
019;008;0;batch_019_plate_008;b_019_p_008_l_000_nb.png;173.0
019;008;1;batch_019_plate_008;b_019_p_008_l_000_b.png;190.0
019;009;0;batch_019_plate_009;b_019_p_009_l_000_nb.png;359.0
019;009;1;batch_019_plate_009;b_019_p_009_l_000_b.png;321.0
019;010;0;batch_019_plate_010;b_019_p_010_l_000_nb.png;335.0
019;010;1;batch_019_plate_010;b_019_p_010_l_000_b.png;219.0
